anio,hectareas,mes_pico
2012,30038,Mar
2013,66062,Mar
2014,45752,Mar
2015,50668,Mar
2016,59328,Abr
2017,26467,Mar
2018,38611,Mar
2019,46821,Mar
2020,30401,Mar
2021,14688,Mar
2022,46500,Feb
2023,18771,Abr
2024,37221,Mar
2025,11395,Abr
2026,40215,Mar
