celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0955_m08525,4.629,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08275,1.099,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08285,57.307,4,25,NA,NA,NA,4,NA,4,3,0.231,0.0054,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08295,120.969,35,34.3,NA,NA,NA,29,NA,35,10,0.769,0.0223,5.2,NA,TRUE,TRUE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08305,121.389,38,13.2,107,251,145,27,NA,38,10,0.769,0.0241,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08315,121.382,94,20.2,56,213,158,69,NA,94,13,1,0.0596,3.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08325,121.376,6,0,NA,NA,NA,5,NA,6,4,0.308,0.0038,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08335,121.371,3,0,NA,NA,NA,3,NA,3,3,0.231,0.0019,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08345,121.366,31,0,192,230,39,26,NA,31,9,0.692,0.0196,6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08355,121.362,6,0,NA,NA,NA,5,NA,6,3,0.231,0.0038,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08365,121.359,2,0,NA,NA,NA,2,NA,2,2,0.154,0.0013,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08375,121.356,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08385,121.354,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08395,121.353,16,0,NA,NA,NA,6,NA,16,2,0.154,0.0101,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08405,121.353,15,0,NA,NA,NA,9,NA,15,8,0.615,0.0095,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08415,121.353,49,4.1,165,240,76,30,NA,49,11,0.846,0.0311,4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08425,121.354,66,0,200,205,6,11,NA,66,6,0.462,0.0418,5.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08435,121.356,34,0,162,229,68,26,NA,34,10,0.769,0.0216,5.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08445,121.359,14,0,NA,NA,NA,11,NA,14,5,0.385,0.0089,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08455,121.362,40,0,175,218,44,33,NA,40,11,0.846,0.0254,5.4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08465,118.009,65,6.2,145,232,88,45,NA,65,11,0.846,0.0424,4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08475,17.419,8,0,NA,NA,NA,8,NA,8,6,0.462,0.0353,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08505,42.772,79,0,155,234,80,43,NA,79,12,0.923,0.1421,3,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08515,118.892,47,2.1,159,245,87,29,NA,47,11,0.846,0.0304,3.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0965_m08525,75.348,28,3.6,NA,NA,NA,19,NA,28,8,0.615,0.0286,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0965_m08535,0.014,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08295,62.597,16,25,NA,NA,NA,12,NA,16,7,0.538,0.0197,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08305,121.353,20,45,NA,NA,NA,16,NA,20,8,0.615,0.0127,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08315,121.347,5,0,NA,NA,NA,4,NA,5,4,0.308,0.0032,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08325,121.34,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08335,121.335,26,0,NA,NA,NA,22,NA,26,11,0.846,0.0165,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08345,121.33,50,0,164,238,75,34,NA,50,9,0.692,0.0317,4.4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08355,121.326,13,0,NA,NA,NA,11,NA,13,7,0.538,0.0082,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08365,121.323,3,33.3,NA,NA,NA,3,NA,3,2,0.154,0.0019,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08375,121.321,28,17.9,NA,NA,NA,21,NA,28,10,0.769,0.0178,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08385,121.319,17,0,NA,NA,NA,14,NA,17,8,0.615,0.0108,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08395,121.318,120,25.8,NA,NA,NA,110,0.455,120,13,1,0.0761,0.8,NA,TRUE,TRUE,TRUE,TRUE,2013,2025,2013,2025
