anio,detecciones,hectareas,frp_promedio,frp_maximo
2012,5759,30038,6.4,224.64
2013,8690,66062,6.5,263.09
2014,6541,45752,7.2,113.11
2015,6787,50668,6.6,243.04
2016,7992,59328,7.1,158.7
2017,4558,26467,7.2,198.37
2018,5878,38611,6.5,119.97
2019,7263,46821,6.2,153.85
2020,6049,30401,6.4,331.78
2021,2522,14688,6.4,112.88
2022,6012,46500,6.2,269.74
2023,2988,18771,6.9,520.76
2024,6402,37221,6.8,302.04
2025,1961,11395,7.1,274.08
2026,4693,40215,6.3,327.42
