anio_fuego,vegetacion,sin_tipo,volcan_activo,fuente_estatica,mar,excluidas
2012,5350,0,90,0,8,98
2013,8562,0,126,0,9,135
2014,6526,0,102,0,7,109
2015,6664,0,42,0,4,46
2016,8077,0,27,11,5,43
2017,4427,0,63,16,9,88
2018,5772,0,54,24,9,87
2019,7229,0,27,19,7,53
2020,6058,0,7,34,8,49
2021,2445,0,2,13,3,18
2022,6015,0,5,22,11,38
2023,2964,0,2,6,4,12
2024,6469,0,13,2,5,20
2025,1827,0,26,36,2,64
2026,4748,46,5,36,3,44
2027,0,12,0,0,0,0
