celda_id,n_est,n_volcan,n_fija,n_total,pct_est,anios_est,primer_anio,ultimo_anio,diurna,manana,frp_est,conf_est,lat,lon,disp_m,es_fuente,firma,localidad
c0995_m08385,482,482,0,504,95.6,11,2012,2022,0.05,NA,1.2,NA,10.0186,-83.7654,226,TRUE,Cráter volcánico,Santa Cruz de Turrialba (cráter del Turrialba)
c1015_m08425,109,109,0,112,97.3,11,2012,2026,0,NA,1.1,NA,10.1971,-84.2311,174,TRUE,Cráter volcánico,San Juan de Poás (cráter del Poás)
c0975_m08395,105,0,105,237,44.3,11,2016,2026,0,NA,0.7,NA,9.8308,-83.9048,144,TRUE,Fuente térmica nocturna persistente,"Aguacaliente de Cartago y Llanos de Santa Lucía, Paraíso"
c0995_m08425,84,0,84,545,15.4,8,2016,2026,0.07,NA,0.5,NA,9.9664,-84.1558,382,TRUE,Fuente térmica nocturna persistente,"La Ribera y La Uruca, entre Belén y San José"
c1015_m08525,30,0,30,816,3.7,3,2024,2026,0,NA,0.8,NA,10.1998,-85.1827,125,TRUE,Fuente térmica nocturna persistente,Colorado de Abangares
