anio,hectareas,mes_pico
2001,41582,Feb
2002,27793,Mar
2003,39317,Mar
2004,32026,Mar
2005,17531,Mar
2006,16248,Mar
2007,30808,Mar
2008,18964,Abr
2009,27921,Mar
2010,28306,Mar
2011,15799,Mar
2012,33886,Mar
2013,57660,Mar
2014,43358,Abr
2015,49535,Mar
2016,54560,Abr
2017,33010,Mar
2018,41348,Mar
2019,45944,Mar
2020,35554,Mar
2021,21550,Mar
2022,51866,Feb
2023,25783,Mar
2024,30081,Mar
2025,17681,Abr
2026,35019,Mar
