clase,fraccion_promedio,detecciones_dominante
Bosque,0.526,16953
Pastizal,0.314,7562
Cultivos,0.118,3949
Zonas construidas,0.028,915
Cuerpos de agua,0.004,33
Humedal herbáceo,0.003,28
Suelo desnudo / vegetación escasa,0.003,9
Manglar,0.002,71
Matorral,0.002,0
