celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0975_m08315,121.347,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08325,121.34,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08335,121.335,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08345,121.33,7,0,NA,NA,NA,6,NA,7,4,0.2,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08355,121.326,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08365,121.323,3,33.3,NA,NA,NA,3,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08375,121.321,15,13.3,NA,NA,NA,14,NA,13,9,0.45,0.0054,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08385,121.319,2,50,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08395,121.318,4,0,NA,NA,NA,4,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08405,121.317,3,0,NA,NA,NA,2,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08415,121.318,25,0,NA,NA,NA,17,NA,22,10,0.5,0.0091,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08425,121.319,8,0,NA,NA,NA,5,NA,8,5,0.25,0.0033,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08435,121.321,24,8.3,NA,NA,NA,21,NA,22,14,0.7,0.0091,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08445,121.323,17,0,NA,NA,NA,13,NA,14,7,0.35,0.0058,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08455,121.326,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
