indice,columna,n,n_nino,mediana_nino,n_neutra,mediana_neutra,n_nina,mediana_nina,rho,p
lon,lon,24,9,92,6,98.5,9,97,-0.07,0.751
ini_dia,ini_dia,24,9,144,6,138,9,142,0.01,0.965
fin_dia,fin_dia,24,9,235,6,237,9,239,-0.42,0.042
n50,n50,24,9,21,6,21.5,9,20,0.1,0.639
c10,c10,24,9,32.2,6,31.4,9,33,0.02,0.944
frpi,frpi,24,9,16,6,16.35,9,15.7,0.28,0.184
dtot,z_dtot,23,9,0.24,5,0.65,9,-0.87,0.62,0.001
nd95,z_nd95,23,9,0.69,5,0.09,9,-1.1,0.49,0.016
d95ptot,z_d95ptot,23,9,0.65,5,-0.01,9,-0.97,0.48,0.021
