clase,detecciones,en_humedal,pct_en_humedal,fraccion_humedal_promedio,hectareas_quemadas,pct_quemado_en_humedal
Bosque,9215,302,3.3,0.01,46415,1.2
Pastizal,3016,442,14.7,0.094,20695,13.9
Cultivos,640,44,6.9,0.027,21358,4.5
Zonas construidas,150,1,0.7,0.001,0,NA
Suelo desnudo / vegetación escasa,52,50,96.2,0.295,0,NA
Cuerpos de agua,33,18,54.5,0.269,171,37.5
Manglar,19,11,57.9,0.264,192,22.2
Humedal herbáceo,8,8,100,0.925,0,NA
Matorral,2,0,0,0,0,NA
