celda_id,area_km2,anio_inicio,anio_fin,dtot_a,dtot_b,ini_dia_a,ini_dia_b,fin_dia_a,fin_dia_b,lon_a,lon_b,dens_a,dens_b,valida_a,valida_b,sin_estacion_a,sin_estacion_b,acuerdo,acuerdo_codigo,dif_ini,dif_fin,dif_lon
c1035_m08415,121.097,2013,2025,3,14,NA,NA,NA,NA,NA,NA,0.0019,0.0089,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1035_m08425,121.099,2013,2025,13,71,NA,NA,NA,NA,NA,NA,0.0083,0.0451,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1035_m08435,121.1,2013,2025,10,56,NA,NA,NA,NA,NA,NA,0.0064,0.0356,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1035_m08445,121.103,2013,2025,5,20,NA,NA,NA,NA,NA,NA,0.0032,0.0127,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1035_m08455,121.106,2013,2025,11,32,NA,145,NA,271,NA,127,0.007,0.0203,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1035_m08465,121.11,2013,2025,0,8,NA,NA,NA,NA,NA,NA,0,0.0051,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1035_m08485,121.12,2013,2025,0,2,NA,NA,NA,NA,NA,NA,0,0.0013,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1035_m08495,121.126,2013,2025,2,15,NA,NA,NA,NA,NA,NA,0.0013,0.0095,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1035_m08505,121.133,2013,2025,40,180,207,207,242,245,36,39,0.0254,0.1143,TRUE,TRUE,FALSE,FALSE,ambas,1,0,3,3
c1035_m08515,121.141,2013,2025,218,690,119,129,221,233,103,105,0.1384,0.4381,TRUE,TRUE,FALSE,FALSE,ambas,1,10,12,2
c1035_m08525,121.149,2013,2025,430,955,121,127,217,217,97,91,0.273,0.6064,TRUE,TRUE,FALSE,FALSE,ambas,1,6,0,-6
c1035_m08535,121.158,2013,2025,250,696,130,136,230,233,101,98,0.1587,0.4419,TRUE,TRUE,FALSE,FALSE,ambas,1,6,3,-3
c1035_m08545,121.168,2013,2025,293,594,116,121,236,231,121,111,0.186,0.3771,TRUE,TRUE,FALSE,FALSE,ambas,1,5,-5,-10
c1035_m08555,121.178,2013,2025,536,1106,113,118,221,224,109,107,0.3402,0.7021,TRUE,TRUE,FALSE,FALSE,ambas,1,5,3,-2
c1035_m08565,121.189,2013,2025,219,1403,157,165,227,228,71,64,0.139,0.8905,TRUE,TRUE,FALSE,FALSE,ambas,1,8,1,-7
c1035_m08575,121.201,2013,2025,262,1467,168,171,219,224,52,54,0.1663,0.9311,TRUE,TRUE,FALSE,FALSE,ambas,1,3,5,2
c1035_m08585,83.354,2013,2025,180,1024,167,172,221,222,55,51,0.1661,0.945,TRUE,TRUE,FALSE,FALSE,ambas,1,5,1,-4
c1035_m08595,4.613,2013,2025,1,14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08365,121.065,2013,2025,1,4,NA,NA,NA,NA,NA,NA,6e-4,0.0025,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08375,121.062,2013,2025,1,15,NA,NA,NA,NA,NA,NA,6e-4,0.0095,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08385,121.061,2013,2025,8,19,NA,NA,NA,NA,NA,NA,0.0051,0.0121,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08395,121.06,2013,2025,4,39,NA,NA,NA,NA,NA,NA,0.0025,0.0248,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1045_m08405,121.059,2013,2025,1,8,NA,NA,NA,NA,NA,NA,6e-4,0.0051,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08415,121.06,2013,2025,6,62,NA,NA,NA,NA,NA,NA,0.0038,0.0394,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1045_m08425,121.061,2013,2025,35,190,NA,NA,NA,NA,NA,NA,0.0222,0.1207,TRUE,TRUE,TRUE,TRUE,ninguna,4,NA,NA,NA
c1045_m08435,121.062,2013,2025,15,81,NA,NA,NA,NA,NA,NA,0.0095,0.0515,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1045_m08445,121.065,2013,2025,17,87,NA,96,NA,254,NA,159,0.0108,0.0553,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1045_m08455,121.068,2013,2025,22,106,NA,NA,NA,NA,NA,NA,0.014,0.0673,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1045_m08465,121.072,2013,2025,5,31,NA,117,NA,276,NA,160,0.0032,0.0197,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1045_m08475,121.077,2013,2025,0,2,NA,NA,NA,NA,NA,NA,0,0.0013,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08495,121.088,2013,2025,0,4,NA,NA,NA,NA,NA,NA,0,0.0025,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1045_m08505,121.095,2013,2025,23,122,NA,193,NA,244,NA,52,0.0146,0.0775,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1045_m08515,121.103,2013,2025,113,608,159,175,245,248,87,74,0.0718,0.3862,TRUE,TRUE,FALSE,FALSE,ambas,1,16,3,-13
c1045_m08525,121.111,2013,2025,271,1193,136,146,225,235,90,90,0.1721,0.7577,TRUE,TRUE,FALSE,FALSE,ambas,1,10,10,0
c1045_m08535,121.12,2013,2025,179,752,162,159,238,237,77,79,0.1137,0.4776,TRUE,TRUE,FALSE,FALSE,ambas,1,-3,-1,2
c1045_m08545,121.13,2013,2025,270,840,100,118,236,231,137,114,0.1715,0.5334,TRUE,TRUE,FALSE,FALSE,ambas,1,18,-5,-23
c1045_m08555,121.14,2013,2025,420,1082,112,125,225,228,114,104,0.2667,0.6871,TRUE,TRUE,FALSE,FALSE,ambas,1,13,3,-10
c1045_m08565,121.151,2013,2025,186,756,117,138,218,225,102,88,0.1181,0.48,TRUE,TRUE,FALSE,FALSE,ambas,1,21,7,-14
c1045_m08575,117.806,2013,2025,341,2449,169,172,221,221,53,50,0.2227,1.5991,TRUE,TRUE,FALSE,FALSE,ambas,1,3,0,-3
c1045_m08585,40.378,2013,2025,79,634,180,182,226,226,47,45,0.1505,1.2078,TRUE,TRUE,FALSE,FALSE,ambas,1,2,0,-2
c1055_m08365,121.027,2013,2025,0,1,NA,NA,NA,NA,NA,NA,0,6e-4,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08375,121.024,2013,2025,0,6,NA,NA,NA,NA,NA,NA,0,0.0038,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08385,121.022,2013,2025,1,14,NA,NA,NA,NA,NA,NA,6e-4,0.0089,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08395,121.021,2013,2025,5,32,NA,56,NA,213,NA,158,0.0032,0.0203,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1055_m08405,121.021,2013,2025,0,16,NA,NA,NA,NA,NA,NA,0,0.0102,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08415,121.021,2013,2025,10,28,NA,NA,NA,NA,NA,NA,0.0064,0.0178,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08425,121.022,2013,2025,10,45,NA,181,NA,339,NA,159,0.0064,0.0286,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1055_m08435,121.024,2013,2025,13,127,NA,NA,NA,NA,NA,NA,0.0083,0.0807,FALSE,TRUE,FALSE,TRUE,ninguna,4,NA,NA,NA
c1055_m08445,121.027,2013,2025,8,87,NA,53,NA,248,NA,196,0.0051,0.0553,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1055_m08455,121.03,2013,2025,14,105,NA,171,NA,302,NA,132,0.0089,0.0667,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1055_m08465,121.034,2013,2025,3,20,NA,NA,NA,NA,NA,NA,0.0019,0.0127,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08475,121.038,2013,2025,0,6,NA,NA,NA,NA,NA,NA,0,0.0038,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08485,121.044,2013,2025,0,5,NA,NA,NA,NA,NA,NA,0,0.0032,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08495,121.05,2013,2025,0,6,NA,NA,NA,NA,NA,NA,0,0.0038,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08505,121.057,2013,2025,6,21,NA,NA,NA,NA,NA,NA,0.0038,0.0133,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1055_m08515,121.064,2013,2025,70,217,171,176,250,254,80,79,0.0445,0.1379,TRUE,TRUE,FALSE,FALSE,ambas,1,5,4,-1
c1055_m08525,121.072,2013,2025,87,493,177,177,238,238,62,62,0.0553,0.3132,TRUE,TRUE,FALSE,FALSE,ambas,1,0,0,0
c1055_m08535,121.081,2013,2025,280,1593,191,191,235,234,45,44,0.1779,1.012,TRUE,TRUE,FALSE,FALSE,ambas,1,0,-1,-1
c1055_m08545,121.091,2013,2025,109,669,155,162,243,236,89,75,0.0692,0.425,TRUE,TRUE,FALSE,FALSE,ambas,1,7,-7,-14
c1055_m08555,121.102,2013,2025,210,803,145,164,239,238,95,75,0.1334,0.5101,TRUE,TRUE,FALSE,FALSE,ambas,1,19,-1,-20
c1055_m08565,114.351,2013,2025,278,1388,155,161,230,226,76,66,0.187,0.9337,TRUE,TRUE,FALSE,FALSE,ambas,1,6,-4,-10
c1055_m08575,26.643,2013,2025,29,220,NA,158,NA,217,NA,60,0.0837,0.6352,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08375,120.985,2013,2025,1,8,NA,NA,NA,NA,NA,NA,6e-4,0.0051,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08385,118.539,2013,2025,2,28,NA,NA,NA,NA,NA,NA,0.0013,0.0182,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08395,81.542,2013,2025,2,8,NA,NA,NA,NA,NA,NA,0.0019,0.0075,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08405,114.804,2013,2025,7,13,NA,NA,NA,NA,NA,NA,0.0047,0.0087,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08415,120.983,2013,2025,0,27,NA,NA,NA,NA,NA,NA,0,0.0172,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08425,120.984,2013,2025,1,10,NA,NA,NA,NA,NA,NA,6e-4,0.0064,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
