clase,fraccion_promedio,detecciones_dominante
Bosque,0.658,29055
Pastizal,0.266,9224
Cultivos,0.05,1995
Zonas construidas,0.013,470
Cuerpos de agua,0.004,84
Suelo desnudo / vegetación escasa,0.003,109
Matorral,0.003,2
Humedal herbáceo,0.002,38
Manglar,0.002,69
Nieve y hielo,0,0
