indice,columna,n,n_nino,mediana_nino,n_neutra,mediana_neutra,n_nina,mediana_nina,rho,p
lon,lon,7,3,69,1,86,3,87,-0.29,0.535
ini_dia,ini_dia,7,3,168,1,158,3,153,0.61,0.144
fin_dia,fin_dia,7,3,236,1,243,3,236,-0.04,0.937
n50,n50,7,3,27,1,27,3,25,0.11,0.812
c10,c10,7,3,24.6,1,26,3,29.6,-0.14,0.76
frpi,frpi,7,3,4.5,1,4.8,3,4.6,0.18,0.699
dtot,z_dtot,7,3,0.78,1,-1.32,3,-0.77,0.61,0.148
nd95,z_nd95,7,3,0.85,1,-1.06,3,-1.06,0.7,0.077
d95ptot,z_d95ptot,7,3,0.71,1,-1.06,3,-1.06,0.37,0.413
